CameID: 249C
CPLD set to 80
CPLD set to 0
sensor power control set to 5
sensor timing control set to 2
Writing 55 to test reg
Read 55 from test reg
FW Version 0x80
cameraVerify failed! address: 3008, expected: 82, actual: 2
cameraVerify failed! address: 3810, expected: C2, actual: 40
cameraVerify failed! address: 3605, expected: 7C, actual: 4
cameraVerify failed! address: 3621, expected: 9, actual: 87
cameraVerify failed! address: 3604, expected: 40, actual: 48
cameraVerify failed! address: 3603, expected: A7, actual: 27
cameraVerify failed! address: 3600, expected: 54, actual: 52
cameraVerify failed! address: 3606, expected: 3F, actual: 1B
cameraVerify failed! address: 5000, expected: 4F, actual: CF
cameraVerify failed! address: 5181, expected: 79, actual: 52
cameraVerify failed! address: 5182, expected: 0, actual: 11
cameraVerify failed! address: 5185, expected: 22, actual: 24
cameraVerify failed! address: 5500, expected: A, actual: 10
cameraVerify failed! address: 3808, expected: 2, actual: 1
cameraVerify failed! address: 3809, expected: 80, actual: 40
cameraVerify failed! address: 380A, expected: 1, actual: 0
cameraVerify failed! address: 380B, expected: E0, actual: F0
cameraVerify failed! address: 380E, expected: 7, actual: 3
cameraVerify failed! address: 380F, expected: D0, actual: E8
cameraVerify failed! address: 5000, expected: 4F, actual: CF
cameraVerify failed! address: 3503, expected: 7, actual: 0
cameraVerify failed! address: 3501, expected: 73, actual: 0
cameraVerify failed! address: 3502, expected: 80, actual: 50
cameraVerify failed! address: 350B, expected: 0, actual: 2
cameraVerify failed! address: 3503, expected: 7, actual: 0
cameraVerify failed! address: 3501, expected: 1E, actual: 0
cameraVerify failed! address: 3502, expected: 80, actual: 50
cameraVerify failed! address: 350B, expected: 7F, actual: 2
cameraVerify failed! address: 3A0D, expected: 4, actual: 8
cameraVerify failed! address: 3A0E, expected: 3, actual: 6
cameraVerify failed! address: 3801, expected: 80, actual: 50
cameraVerify failed! address: 3A08, expected: 12, actual: 9
cameraVerify failed! address: 3A09, expected: C0, actual: 60
cameraVerify failed! address: 3A0A, expected: F, actual: 7
cameraVerify failed! address: 3A0B, expected: A0, actual: D0
cameraVerify failed! address: 350C, expected: 7, actual: 3
cameraVerify failed! address: 350D, expected: D0, actual: E8
cameraVerify failed! address: 3502, expected: 0, actual: 50
cameraVerify failed! address: 350B, expected: 0, actual: 2
cameraVerify failed! address: 528A, expected: 2, actual: 0
cameraVerify failed! address: 528B, expected: 4, actual: 1
cameraVerify failed! address: 528C, expected: 8, actual: 4
cameraVerify failed! address: 528E, expected: 8, actual: 10
cameraVerify failed! address: 528F, expected: 10, actual: 20
cameraVerify failed! address: 5290, expected: 10, actual: 30
cameraVerify failed! address: 5293, expected: 2, actual: 0
cameraVerify failed! address: 5295, expected: 2, actual: 1
cameraVerify failed! address: 5297, expected: 2, actual: 4
cameraVerify failed! address: 5299, expected: 2, actual: 8
cameraVerify failed! address: 529B, expected: 2, actual: 10
cameraVerify failed! address: 529D, expected: 2, actual: 20
cameraVerify failed! address: 529F, expected: 2, actual: 30
cameraVerify failed! address: 528A, expected: 1, actual: 0
cameraVerify failed! address: 528B, expected: 4, actual: 1
cameraVerify failed! address: 528C, expected: 8, actual: 4
cameraVerify failed! address: 528D, expected: 10, actual: 8
cameraVerify failed! address: 528E, expected: 20, actual: 10
cameraVerify failed! address: 528F, expected: 28, actual: 20
cameraVerify failed! address: 5293, expected: 1, actual: 0
cameraVerify failed! address: 5295, expected: 4, actual: 1
cameraVerify failed! address: 5297, expected: 8, actual: 4
cameraVerify failed! address: 5299, expected: 10, actual: 8
cameraVerify failed! address: 529B, expected: 20, actual: 10
cameraVerify failed! address: 529D, expected: 28, actual: 20
cameraVerify failed! address: 530D, expected: C, actual: 10
cameraVerify failed! address: 5316, expected: 10, actual: 0
cameraVerify failed! address: 5186, expected: 6, actual: 14
cameraVerify failed! address: 5187, expected: 8, actual: 14
cameraVerify failed! address: 5188, expected: 8, actual: 14
cameraVerify failed! address: 5189, expected: 7C, actual: 69
cameraVerify failed! address: 518B, expected: B2, actual: A2
cameraVerify failed! address: 518C, expected: B2, actual: 9C
cameraVerify failed! address: 518D, expected: 44, actual: 36
cameraVerify failed! address: 518E, expected: 3D, actual: 34
cameraVerify failed! address: 518F, expected: 58, actual: 54
cameraVerify failed! address: 5190, expected: 46, actual: 4C
cameraVerify failed! address: 5199, expected: 12, actual: 0
cameraVerify failed! address: 519C, expected: 6, actual: 4
cameraVerify failed! address: 519D, expected: 82, actual: 0
cameraVerify failed! address: 519E, expected: 0, actual: A0
cameraVerify failed! address: 5583, expected: 40, actual: 50
cameraVerify failed! address: 5584, expected: 40, actual: 50
cameraVerify failed! address: 3632, expected: 51, actual: 52
cameraVerify failed! address: 370D, expected: 3, actual: B
cameraVerify failed! address: 3606, expected: 24, actual: 1B
cameraVerify failed! address: 519E, expected: 0, actual: A0
cameraVerify failed! address: 5198, expected: 5, actual: 4
cameraVerify failed! address: 5199, expected: 2F, actual: 0
cameraVerify failed! address: 519C, expected: 6, actual: 4
cameraVerify failed! address: 519D, expected: A0, actual: 0
cameraVerify failed! address: 5316, expected: 10, actual: 0
cameraVerify failed! address: 3503, expected: 7, actual: 0
cameraVerify failed! address: 3A10, expected: 32, actual: 40
cameraVerify failed! address: 3A1B, expected: 3C, actual: 4A
cameraVerify failed! address: 3A1E, expected: 32, actual: 3E
cameraVerify failed! address: 3A11, expected: 80, actual: 70
cameraVerify failed! address: 3002, expected: C, actual: 0
cameraVerify failed! address: FFFF, expected: FF, actual: 0
cameraVerify failed! address: 3801, expected: A8, actual: B0
cameraVerify failed! address: FFFF, expected: FF, actual: 0
Image Size: 5608
