cameraVerify failed! address: 3008, expected: 80, actual: 2
cameraVerify failed! address: 3503, expected: 7, actual: 0
cameraVerify failed! address: 3002, expected: 0, actual: 5C
cameraVerify failed! address: 3006, expected: FF, actual: 43
cameraVerify failed! address: 3007, expected: 3F, actual: 37
cameraVerify failed! address: 350C, expected: 7, actual: 3
cameraVerify failed! address: 350D, expected: D0, actual: E8
cameraVerify failed! address: 3602, expected: E4, actual: FC
cameraVerify failed! address: 3612, expected: AC, actual: FF
cameraVerify failed! address: 3613, expected: 44, actual: 0
cameraVerify failed! address: 3621, expected: 27, actual: 87
cameraVerify failed! address: 3622, expected: 8, actual: 60
cameraVerify failed! address: 3623, expected: 22, actual: 1
cameraVerify failed! address: 3604, expected: 60, actual: 48
cameraVerify failed! address: 3705, expected: DA, actual: DB
cameraVerify failed! address: 370A, expected: 80, actual: 81
cameraVerify failed! address: 3801, expected: 8A, actual: 50
cameraVerify failed! address: 3803, expected: A, actual: 8
cameraVerify failed! address: 3804, expected: A, actual: 5
cameraVerify failed! address: 3805, expected: 20, actual: 0
cameraVerify failed! address: 3806, expected: 7, actual: 3
cameraVerify failed! address: 3807, expected: 98, actual: C0
cameraVerify failed! address: 3808, expected: A, actual: 1
cameraVerify failed! address: 3809, expected: 20, actual: 40
cameraVerify failed! address: 380A, expected: 7, actual: 0
cameraVerify failed! address: 380B, expected: 98, actual: F0
cameraVerify failed! address: 380E, expected: 7, actual: 3
cameraVerify failed! address: 380F, expected: D0, actual: E8
cameraVerify failed! address: 3810, expected: C2, actual: 40
cameraVerify failed! address: 3815, expected: 44, actual: 4
cameraVerify failed! address: 3818, expected: C8, actual: C1
cameraVerify failed! address: 3824, expected: 1, actual: 11
cameraVerify failed! address: 3827, expected: A, actual: 8
cameraVerify failed! address: 3A0D, expected: 10, actual: 8
cameraVerify failed! address: 3A0E, expected: D, actual: 6
cameraVerify failed! address: 3A10, expected: 32, actual: 28
cameraVerify failed! address: 3A1B, expected: 3C, actual: 30
cameraVerify failed! address: 3A1E, expected: 32, actual: 28
cameraVerify failed! address: 3A11, expected: 80, actual: 61
cameraVerify failed! address: 3A1F, expected: 20, actual: 10
cameraVerify failed! address: 460B, expected: 35, actual: 37
cameraVerify failed! address: 471D, expected: 0, actual: 5
cameraVerify failed! address: 4713, expected: 3, actual: 2
cameraVerify failed! address: 471C, expected: 50, actual: D0
cameraVerify failed! address: 5682, expected: A, actual: 5
cameraVerify failed! address: 5683, expected: 20, actual: 0
cameraVerify failed! address: 5686, expected: 7, actual: 3
cameraVerify failed! address: 5687, expected: 98, actual: BC
cameraVerify failed! address: 5001, expected: 4F, actual: FF
cameraVerify failed! address: 589B, expected: 0, actual: 4
cameraVerify failed! address: 589A, expected: C0, actual: C5
cameraVerify failed! address: 4407, expected: 8, actual: C
cameraVerify failed! address: 589B, expected: 0, actual: 4
cameraVerify failed! address: 589A, expected: C0, actual: C5
cameraVerify failed! address: 3002, expected: C, actual: 5C
cameraVerify failed! address: 3002, expected: 0, actual: 5C
cameraVerify failed! address: 3A0F, expected: 48, actual: 30
cameraVerify failed! address: 3A10, expected: 40, actual: 28
cameraVerify failed! address: 3A1B, expected: 4A, actual: 30
cameraVerify failed! address: 3A1E, expected: 3E, actual: 28
cameraVerify failed! address: 3A11, expected: 70, actual: 61
cameraVerify failed! address: 3A1F, expected: 20, actual: 10
cameraVerify failed! address: FFFF, expected: FF, actual: 0
cameraVerify failed! address: 3801, expected: A8, actual: 50
cameraVerify failed! address: 3803, expected: A, actual: 8
cameraVerify failed! address: 3804, expected: A, actual: 5
cameraVerify failed! address: 3805, expected: 20, actual: 0
cameraVerify failed! address: 3806, expected: 7, actual: 3
cameraVerify failed! address: 3807, expected: 98, actual: C0
cameraVerify failed! address: 380E, expected: 7, actual: 3
cameraVerify failed! address: 380F, expected: D0, actual: E8
cameraVerify failed! address: 5001, expected: 7F, actual: FF
cameraVerify failed! address: 5682, expected: A, actual: 5
cameraVerify failed! address: 5683, expected: 20, actual: 0
cameraVerify failed! address: 5686, expected: 7, actual: 3
cameraVerify failed! address: 5687, expected: 98, actual: BC
cameraVerify failed! address: 3801, expected: B0, actual: 50
cameraVerify failed! address: FFFF, expected: FF, actual: 0
cameraVerify failed! address: 0, expected: 1, actual: 0
cameraVerify failed! address: 46B8, expected: 1, actual: 0
cameraVerify failed! address: 7554, expected: 78, actual: 0
cameraVerify failed! address: 6172, expected: 20, actual: 0
cameraVerify failed! address: 6C65, expected: 69, actual: 0
cameraVerify failed! address: 636E, expected: 65, actual: 0
cameraVerify failed! address: 6445, expected: 67, actual: 0
cameraVerify failed! address: 7620, expected: 32, actual: 0
cameraVerify failed! address: 2078, expected: 42, actual: 0
cameraVerify failed! address: 6C69, expected: 64, actual: 0
cameraVerify failed! address: 3439, expected: 36, actual: 0
cameraVerify failed! address: 4128, expected: 6C, actual: 0
cameraVerify failed! address: 6168, expected: 29, actual: 0
cameraVerify failed! address: 704F, expected: 65, actual: 0
cameraVerify failed! address: 532D, expected: 6F, actual: 0
cameraVerify failed! address: 6372, expected: 65, actual: 0
cameraVerify failed! address: 5047, expected: 4C, actual: 0
cameraVerify failed! address: 2032, expected: 45, actual: 0
cameraVerify failed! address: 7469, expected: 69, actual: 0
cameraVerify failed! address: 206E, expected: 2D, actual: 0
cameraVerify failed! address: 4320, expected: 6F, actual: 0
cameraVerify failed! address: 6970, expected: 6C, actual: 0
cameraVerify failed! address: 2064, expected: 4A, actual: 0
cameraVerify failed! address: 206C, expected: 32, actual: 0
cameraVerify failed! address: 3220, expected: 30, actual: 0
cameraVerify failed! address: 2034, expected: 61, actual: 0
cameraVerify failed! address: 3120, expected: 39, actual: 0
cameraVerify failed! address: 3132, expected: 3A, actual: 0
cameraVerify failed! address: 6F43, expected: 70, actual: 0
cameraVerify failed! address: 6972, expected: 67, actual: 0
cameraVerify failed! address: 2074, expected: 28, actual: 0
cameraVerify failed! address: 2029, expected: 32, actual: 0
cameraVerify failed! address: 3431, expected: 2D, actual: 0
cameraVerify failed! address: 3230, expected: 32, actual: 0
cameraVerify failed! address: 7554, expected: 78, actual: 0
cameraVerify failed! address: 6172, expected: 20, actual: 0
cameraVerify failed! address: 2053, expected: 49, actual: 0
cameraVerify failed! address: 2E63, expected: 20, actual: 0
cameraVerify failed! address: 6C41, expected: 6C, actual: 0
cameraVerify failed! address: 6952, expected: 67, actual: 0
cameraVerify failed! address: 7374, expected: 20, actual: 0
cameraVerify failed! address: 7365, expected: 65, actual: 0
cameraVerify failed! address: 6576, expected: 64, actual: 0
cameraVerify failed! address: 6F57, expected: 72, actual: 0
cameraVerify failed! address: 7764, expected: 69, actual: 0
cameraVerify failed! address: 6150, expected: 74, actual: 0
cameraVerify failed! address: 746E, expected: 73, actual: 0
cameraVerify failed! address: 2020, expected: 55, actual: 0
cameraVerify failed! address: 3723, expected: 32, actual: 0
cameraVerify failed! address: 3134, expected: 30, actual: 0
cameraVerify failed! address: FFFF, expected: FF, actual: 0
cameraVerify failed! address: FF80, expected: FF, actual: 0
cameraVerify failed! address: 2006, expected: 5, actual: 0
cameraVerify failed! address: 95C0, expected: 0, actual: C9
cameraVerify failed! address: 8A1E, expected: 0, actual: 51
cameraVerify failed! address: B480, expected: 0, actual: 4
cameraVerify failed! address: 6006, expected: 5, actual: 0
cameraVerify failed! address: A006, expected: 5, actual: FC
cameraVerify failed! address: 15C0, expected: 1, actual: 0
cameraVerify failed! address: E1E, expected: 1, actual: 0
cameraVerify failed! address: 3480, expected: 1, actual: 0
cameraVerify failed! address: E006, expected: 5, actual: 0
cameraVerify failed! address: 55C0, expected: 1, actual: 0
cameraVerify failed! address: 501E, expected: 1, actual: 40
cameraVerify failed! address: 7480, expected: 1, actual: 0
cameraVerify failed! address: 2006, expected: 6, actual: 0
cameraVerify failed! address: 95C0, expected: 1, actual: C9
cameraVerify failed! address: 911E, expected: 1, actual: 75
cameraVerify failed! address: B480, expected: 1, actual: 4
cameraVerify failed! address: 6006, expected: 6, actual: 0
cameraVerify failed! address: D5C0, expected: 1, actual: 0
cameraVerify failed! address: D21E, expected: 1, actual: 0
cameraVerify failed! address: F480, expected: 1, actual: 0
cameraVerify failed! address: A006, expected: 6, actual: FC
cameraVerify failed! address: 15C0, expected: 2, actual: 0
cameraVerify failed! address: 131E, expected: 2, actual: 0
cameraVerify failed! address: 3480, expected: 2, actual: 0
cameraVerify failed! address: E006, expected: 6, actual: 0
cameraVerify failed! address: 5440, expected: 2, actual: 0
cameraVerify failed! address: 5C17, expected: 2, actual: 0
cameraVerify failed! address: 7440, expected: 2, actual: 0
cameraVerify failed! address: 7E17, expected: 2, actual: 0
cameraVerify failed! address: 9440, expected: 2, actual: 19
cameraVerify failed! address: 8D17, expected: 2, actual: A3
cameraVerify failed! address: B440, expected: 2, actual: 19
cameraVerify failed! address: AF17, expected: 2, actual: DB
cameraVerify failed! address: D440, expected: 2, actual: 0
cameraVerify failed! address: D417, expected: 2, actual: 0
cameraVerify failed! address: F440, expected: 2, actual: 0
cameraVerify failed! address: F517, expected: 2, actual: 0
cameraVerify failed! address: 1440, expected: 3, actual: 0
cameraVerify failed! address: 1617, expected: 3, actual: 0
cameraVerify failed! address: 3440, expected: 3, actual: 0
cameraVerify failed! address: 3717, expected: 3, actual: 0
cameraVerify failed! address: 4E00, expected: 3, actual: 0
cameraVerify failed! address: 6E81, expected: 3, actual: 0
cameraVerify failed! address: 8E02, expected: 3, actual: DA
cameraVerify failed! address: AE83, expected: 3, actual: 35
